timestamp_s,output[0],output[1],output[2],output[3]
3.828,0.0,0.0,0.0,0.0
3.832,0.0,0.0,0.0,0.0
3.924,0.0,0.0,0.0,0.0
4.028,0.0,0.0,0.0,0.0
4.128,0.0,0.0,0.0,0.0
4.228,0.0,0.0,0.0,0.0
4.328,0.0,0.0,0.0,0.0
4.428,0.0,0.0,0.0,0.0
4.528,0.0,0.0,0.0,0.0
4.628,0.0,0.0,0.0,0.0
4.728,0.0,0.0,0.0,0.0
4.828,0.0,0.0,0.0,0.0
4.928,0.0,0.0,0.0,0.0
5.028,0.0,0.0,0.0,0.0
5.128,0.0,0.0,0.0,0.0
5.228,0.0,0.0,0.0,0.0
5.328,0.0,0.0,0.0,0.0
5.428,0.0,0.0,0.0,0.0
5.528,0.0,0.0,0.0,0.0
5.628,0.0,0.0,0.0,0.0
5.728,0.0,0.0,0.0,0.0
5.828,0.0,0.0,0.0,0.0
5.928,0.0,0.0,0.0,0.0
6.028,0.0,0.0,0.0,0.0
6.128,0.0,0.0,0.0,0.0
6.228,0.0,0.0,0.0,0.0
6.328,0.0,0.0,0.0,0.0
6.428,0.0,0.0,0.0,0.0
6.528,0.0,0.0,0.0,0.0
6.628,0.0,0.0,0.0,0.0
6.728,0.0,0.0,0.0,0.0
6.828,0.0,0.0,0.0,0.0
6.928,0.0,0.0,0.0,0.0
7.028,0.0,0.0,0.0,0.0
7.128,0.0,0.0,0.0,0.0
7.228,0.0,0.0,0.0,0.0
7.328,0.0,0.0,0.0,0.0
7.428,0.0,0.0,0.0,0.0
7.528,0.0,0.0,0.0,0.0
7.628,0.0,0.0,0.0,0.0
7.728,0.0,0.0,0.0,0.0
7.828,0.0,0.0,0.0,0.0
7.928,0.0,0.0,0.0,0.0
8.028,0.0,0.0,0.0,0.0
8.128,0.0,0.0,0.0,0.0
8.228,0.0,0.0,0.0,0.0
8.328,0.0,0.0,0.0,0.0
8.428,0.0,0.0,0.0,0.0
8.528,0.0,0.0,0.0,0.0
8.628,0.0,0.0,0.0,0.0
8.728,0.0,0.0,0.0,0.0
8.828,0.0,0.0,0.0,0.0
8.928,0.0,0.0,0.0,0.0
9.028,0.0,0.0,0.0,0.0
9.128,0.0,0.0,0.0,0.0
9.228,0.0,0.0,0.0,0.0
9.328,0.0,0.0,0.0,0.0
9.428,0.0,0.0,0.0,0.0
9.528,0.0,0.0,0.0,0.0
9.628,0.0,0.0,0.0,0.0
9.728,0.0,0.0,0.0,0.0
9.828,0.0,0.0,0.0,0.0
9.928,0.0,0.0,0.0,0.0
10.028,0.0,0.0,0.0,0.0
10.128,0.0,0.0,0.0,0.0
10.228,0.0,0.0,0.0,0.0
10.328,0.0,0.0,0.0,0.0
10.428,0.0,0.0,0.0,0.0
10.528,0.0,0.0,0.0,0.0
10.628,0.0,0.0,0.0,0.0
10.728,0.0,0.0,0.0,0.0
10.828,0.0,0.0,0.0,0.0
10.928,0.0,0.0,0.0,0.0
11.028,0.0,0.0,0.0,0.0
11.128,0.0,0.0,0.0,0.0
11.228,0.0,0.0,0.0,0.0
11.328,0.0,0.0,0.0,0.0
11.428,0.0,0.0,0.0,0.0
11.528,0.0,0.0,0.0,0.0
11.628,0.0,0.0,0.0,0.0
11.728,0.0,0.0,0.0,0.0
11.828,0.0,0.0,0.0,0.0
11.928,0.0,0.0,0.0,0.0
12.028,0.0,0.0,0.0,0.0
12.128,0.0,0.0,0.0,0.0
12.228,0.0,0.0,0.0,0.0
12.328,0.0,0.0,0.0,0.0
12.428,0.0,0.0,0.0,0.0
12.528,0.0,0.0,0.0,0.0
12.628,0.0,0.0,0.0,0.0
12.728,0.0,0.0,0.0,0.0
12.828,0.0,0.0,0.0,0.0
12.928,0.0,0.0,0.0,0.0
13.028,0.0,0.0,0.0,0.0
13.128,0.0,0.0,0.0,0.0
13.228,0.0,0.0,0.0,0.0
13.328,0.0,0.0,0.0,0.0
13.428,0.0,0.0,0.0,0.0
13.528,0.0,0.0,0.0,0.0
13.628,0.0,0.0,0.0,0.0
13.728,0.0,0.0,0.0,0.0
13.828,0.0,0.0,0.0,0.0
13.928,0.0,0.0,0.0,0.0
14.028,0.0,0.0,0.0,0.0
14.128,0.0,0.0,0.0,0.0
14.228,0.0,0.0,0.0,0.0
14.328,0.0,0.0,0.0,0.0
14.428,0.0,0.0,0.0,0.0
14.528,0.0,0.0,0.0,0.0
14.628,0.0,0.0,0.0,0.0
14.728,0.0,0.0,0.0,0.0
14.828,0.0,0.0,0.0,0.0
14.928,0.0,0.0,0.0,0.0
15.028,0.0,0.0,0.0,0.0
15.128,0.0,0.0,0.0,0.0
15.228,0.0,0.0,0.0,0.0
15.328,0.0,0.0,0.0,0.0
15.428,0.0,0.0,0.0,0.0
15.528,0.0,0.0,0.0,0.0
15.628,0.0,0.0,0.0,0.0
15.728,0.0,0.0,0.0,0.0
15.828,0.0,0.0,0.0,0.0
15.928,0.0,0.0,0.0,0.0
16.028,0.0,0.0,0.0,0.0
16.128,0.0,0.0,0.0,0.0
16.228,0.0,0.0,0.0,0.0
16.328,0.0,0.0,0.0,0.0
16.428,0.0,0.0,0.0,0.0
16.528,0.0,0.0,0.0,0.0
16.628,0.0,0.0,0.0,0.0
16.728,0.0,0.0,0.0,0.0
16.828,0.0,0.0,0.0,0.0
16.928,0.0,0.0,0.0,0.0
17.028,0.0,0.0,0.0,0.0
